STAT_ID,Latitude,Longitude,geometry,sc,ss,su,mt,va,vb,vi,pa,pb,pi,GLC_Artificial,GLC_Managed,GLC_Water,GLC_Aquatic_Veg,GLC_PERC_COV,Popdens_00,Soil_pH,SOC,Soil_wetness
400148,-25.06,30.43,POINT (30.43 -25.06),0.0,0.39,0.0,0.0077769519280199,0.0,0.12,0.04,0.0,0.0,0.0,0.03,0.37,0.0002302026,0.0,100.0,29.18,6.1,3.76,72.46
400149,-25.55,28.01,POINT (28.01 -25.55),0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0002872041755485,0.94,0.0,0.43,0.07,0.0,0.0,100.0,1050.04,6.63,3.8,35.68
400150,-27.35,29.48,POINT (29.48 -27.35),0.0,0.81,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.7,0.001844131,0.0,100.0,5.48,6.77,3.99,87.45
400153,-27.41,29.18,POINT (29.18 -27.41),0.0,0.43,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.8,0.003506097,0.0,100.0,23.72,7.01,3.98,79.7
400154,-27.66,29.56,POINT (29.56 -27.66),0.0,0.75,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,100.0,13.38,6.72,4.0,91.66
400155,-27.68,29.57,POINT (29.57 -27.68),0.0,0.78,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,100.0,4.94,6.64,4.01,91.86
400156,-27.26,29.78,POINT (29.78 -27.26),0.0,0.82,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.68,0.0006830601,0.0,100.0,6.09,6.85,3.98,81.46
400157,-26.96,29.24,POINT (29.24 -26.96),0.0,0.63,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.004869836,0.72,0.008803455,0.0,100.0,24.85,7.18,4.2,70.01
400163,-33.86,18.83,POINT (18.83 -33.86),0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.16,0.0,0.0,100.0,207.39,6.85,2.76,63.83
400164,-25.85,28.45,POINT (28.45 -25.85),0.0,0.33,0.0,0.0,0.0,0.07,0.32,0.0,0.0,0.0,0.0,0.26,0.0,0.0,100.0,30.63,6.54,3.69,42.55
400166,-25.65,28.3,POINT (28.3 -25.65),0.0,0.45,0.0,0.02,0.0,0.07,0.2,0.0,0.02,0.0,0.83,0.04,0.0,0.0,100.0,1373.13,6.54,3.69,42.55
400167,-25.66,28.35,POINT (28.35 -25.66),0.0,0.18,0.0,0.01,0.0,0.07,0.09,0.0,0.0,0.0,0.16,0.26,0.0001731302,0.0,100.0,493.83,6.53,3.66,42.41
400169,-25.67,28.4,POINT (28.4 -25.67),0.0,0.21,0.0,0.22,0.0,0.3,0.0,0.0,0.0,0.0,0.05,0.29,0.0,0.0,100.0,554.87,6.53,3.6,42.06
400170,-25.67,28.35,POINT (28.35 -25.67),0.0,0.18,0.0,0.0036384285369977,0.0,0.06,0.09,0.0,0.0,0.0,0.16,0.27,0.0001765537,0.0,100.0,470.6,6.53,3.66,42.41
400171,-25.6,28.36,POINT (28.36 -25.6),0.0,0.23,0.0,0.09,0.0,0.12,0.09,7.28299191715124e-05,0.01,0.01,0.28,0.21,0.005960983,0.0,100.0,700.36,6.53,3.66,42.4
400173,-25.45,28.1,POINT (28.1 -25.45),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.85,0.03,0.0,0.0,100.0,3601.79,6.62,3.46,23.94
400175,-25.85,27.64,POINT (27.64 -25.85),0.0,0.27,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.36,0.0,0.0,100.0,18.16,6.75,3.95,26.99
400176,-25.89,27.58,POINT (27.58 -25.89),0.0,0.08,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,100.0,24.5,6.71,3.89,28.71
